Restaurant_ID,Restaurant.Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average_Cost_for_two,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Aggregate_rating,Votes,top_dishes
3400025,Jahanpanah,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,78.01154444,27.16166111,"North Indian, Mughlai",850,No,No,No,3.9,140,"['Naan', 'Kadai Paneer', 'Kulfi', 'Chapli Kebab', 'Nihari']"
3400341,Rangrezz Restaurant,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,0.0,0.0,"North Indian, Mughlai",700,No,No,No,3.5,71,"['Kulfi', 'Palak Paneer', 'Aloo Paratha', 'Nihari', 'Seekh Kebab']"
3400005,Time2Eat - Mama Chicken,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,78.01160797,27.16083249,North Indian,500,No,No,No,3.6,94,"['Samosa', 'Kulfi', 'Rajma', 'Pani Puri', 'Gulab Jamun']"
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,77.99809167,27.19592778,Rajasthani,400,No,No,No,4.0,87,"['Laddu', 'Ker Sangri', 'Kalmi Vada', 'Kachori', 'Aloo Mangodi']"
3400017,Pinch Of Spice,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,78.00755278,27.201725,"North Indian, Chinese, Mughlai",1000,No,No,No,4.2,177,"['Palak Paneer', 'Kadai Paneer', 'Kung Pao Chicken', 'Hot and Sour Soup', 'Nihari']"
3400325,MoMo Cafe,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra",Courtyard by Marriott Agra,0.0,0.0,"North Indian, European",2000,No,No,No,4.0,45,"['Tandoori Chicken', 'Rajma', 'Chicken Tikka Masala', 'Paella', 'Sauerbraten']"
3400059,Peshawri - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",ITC Mughal,78.044095,27.160934,"North Indian, Mughlai",2500,No,No,No,4.3,133,"['Pani Puri', 'Chicken Tikka Masala', 'Kadai Paneer', 'Murgh Musallam', 'Seekh Kebab']"
3400060,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",ITC Mughal,78.044095,27.160934,Mughlai,2500,No,No,No,4.0,41,"['Shahi Tukda', 'Nihari', 'Haleem', 'Murgh Rezala', 'Mutton Korma']"
3400348,G Thal,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",Khandari,0.0,0.0,"Rajasthani, Gujarati, Mughlai",800,No,No,No,3.6,59,"['Kadhi', 'Ker Sangri', 'Basundi', 'Puri', 'Murgh Musallam']"
3400072,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra",Radisson Blu,78.057044,27.163303,"North Indian, Mughlai",3600,No,No,No,3.8,46,"['Rogan Josh', 'Kulfi', 'Chole Bhature', 'Mutton Korma', 'Murgh Musallam']"
3400073,The Latitude - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra",Radisson Blu,78.057044,27.163303,"North Indian, Chinese, Continental",0,No,No,No,3.9,103,"['Dal Makhani', 'Palak Paneer', 'Dumplings', 'Crab Rangoon', 'Fried Chicken']"
3400019,Dasaprakash Restaurant,Agra,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra",Rakabganj,78.01505278,27.16510833,"South Indian, Desserts",550,No,No,No,4.1,121,"['Rava Dosa', 'Coconut Chutney', 'Sambar', 'Pantua', 'Kulfi']"
3400033,The Charcoal Chimney,Agra,"Hotel Samovar, Fatehabad Road, Tajganj, Agra",Tajganj,78.04299,27.159795,"North Indian, Chinese, Continental, Mughlai",1100,No,No,No,3.4,70,"['Tandoori Chicken', 'Chicken Tikka Masala', 'Samosa', 'Szechwan Cuisine', 'Spring Rolls']"
3400346,Sheroes Hangout,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,78.040165,27.16185,"Cafe, North Indian, Chinese",0,No,No,No,4.9,77,"['Breve', 'Espresso', 'Biryani', 'Pani Puri', 'Spring Rolls']"
3400350,Bon Barbecue,Agra,"Parador Hotel, 3A-3B, Phase 1, Fatehabad Road, Taj Nagri, Tajganj, Agra",Tajganj,0.0,0.0,"North Indian, Chinese, Continental",1500,No,No,No,3.8,57,"['Butter Chicken', 'Lassi', 'Peking Duck', 'Dim Sum', ""Shepherd's Pie""]"
3400391,Chapter 1 Cafe,Agra,"1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra",Tajganj,0.0,0.0,"Cafe, Italian, Mexican, North Indian, Continental",0,No,No,No,3.9,98,"['Cappuccino', 'Frappuccino', 'Risotto', 'Panna Cotta', 'Pozole']"
3400016,Pind Balluchi,Agra,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra",Tajganj,78.04725,27.15777222,"North Indian, Mughlai",900,No,No,No,3.7,175,"['Lassi', 'Rajma', 'Tandoori Chicken', 'Seekh Kebab', 'Korma']"
3400105,Pizza Hut,Agra,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Tajganj,78.03471389,27.16169444,"Italian, Pizza",700,No,No,No,4.4,134,"['Lasagna', 'Cannoli', 'Carbonara', 'Mushroom', 'Pepperoni']"
